name,reviews,review_datetime_utc,Location_Unique,Status,Lat,Long,Translated_Review,Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Amenities_Score,Normalized_Amenities_Score
Gaasperplas,193,2021-05-01,Gaasperplas,official,52.3069241,4.9864444,Nice park to walk the dog,0.4215,,,,,,,,4.4,7.4,8.6,0.2,0.3,5.0,0.36
Gaasperplas,193,2021-03-27,Gaasperplas,official,52.3069241,4.9864444,A relatively unexplored spot to witness beautiful sunsets . The place also has a dog park with a tiny beach full of little paw impressions on the sand!,0.7016,,,,,,,,8.3,6.9,6.0,0.0,-0.1,5.0,0.36
Gaasperplas,193,2021-02-26,Gaasperplas,official,52.3069241,4.9864444,Excellent dive site. Beautiful underwater scenery,0.8225,12.0,98.0,6.4,3.0,,,0.5,3.3,5.6,9.2,0.0,-0.1,5.0,0.36
Gaasperplas,193,2021-02-03,Gaasperplas,official,52.3069241,4.9864444,Nice for a good walk.,0.6908,8.6,68.0,4.9,0.3,,,,5.0,8.2,0.0,7.4,13.2,5.0,0.36
Gaasperplas,193,2021-01-15,Gaasperplas,official,52.3069241,4.9864444,Fresh area,0.3182,,,,,,,,2.0,1.6,0.0,0.0,0.0,5.0,0.36
Gaasperplas,193,2020-12-24,Gaasperplas,official,52.3069241,4.9864444,Very corona test,0.0,,,,,,,,5.3,5.3,1.3,7.5,15.6,5.0,0.36
Gaasperplas,193,2020-11-19,Gaasperplas,official,52.3069241,4.9864444,Rattling,0.0,10.1,91.0,11.1,1.0,50.0,310.0,0.5,6.6,8.4,3.1,2.0,2.6,5.0,0.36
Gaasperplas,193,2020-11-16,Gaasperplas,official,52.3069241,4.9864444,"Beautiful lake, nice park to walk with my 2 Berners",0.7717,,,,,,,,6.7,10.6,0.4,2.2,1.6,5.0,0.36
Gaasperplas,193,2020-10-15,Gaasperplas,official,52.3069241,4.9864444,"Love the nature. Gives a peaceful vibe, during summer you can go picnic there.",0.8126,,,,,,,,4.0,9.7,3.1,0.0,-0.1,5.0,0.36
Gaasperplas,193,2020-10-05,Gaasperplas,official,52.3069241,4.9864444,Lovely walk.,0.5859,,,,,,,,7.6,12.0,1.4,7.7,18.9,5.0,0.36
Gaasperplas,193,2020-09-18,Gaasperplas,official,52.3069241,4.9864444,"Lovely walk around the Gaasperplas (5km). For the dog there are 2 swimming beaches (1 small and 1 large) along the route. From October 15 to April 15 you can run free everywhere, including the human beaches.",0.7964,,,,,,,,5.7,14.7,11.4,0.0,0.0,5.0,0.36
Gaasperplas,193,2020-06-29,Gaasperplas,official,52.3069241,4.9864444,Amsterdam lake,0.0,7.6,85.0,21.0,1.0,15.0,30.0,0.5,8.4,15.9,2.9,0.3,0.2,5.0,0.36
Gaasperplas,193,2020-05-13,Gaasperplas,official,52.3069241,4.9864444,Nice,0.4215,,,14.2,1.0,30.0,20.0,,4.8,7.8,6.8,0.5,0.2,5.0,0.36
Gaasperplas,193,2020-03-17,Gaasperplas,official,52.3069241,4.9864444,Most beautiful place in Amsterdam,0.6361,,,,,,,,5.8,8.3,7.0,0.0,0.0,5.0,0.36
Gaasperplas,193,2020-03-08,Gaasperplas,official,52.3069241,4.9864444,Already sailed around this lake several times on the Supboard.,0.0,,,,,,,,8.2,8.8,0.8,2.3,10.9,5.0,0.36
Gaasperplas,193,2020-03-03,Gaasperplas,official,52.3069241,4.9864444,Very nice place,0.4754,,,,,,,,4.8,4.5,7.5,1.8,1.4,5.0,0.36
Gaasperplas,193,2020-02-15,Gaasperplas,official,52.3069241,4.9864444,Close to the center and yet wonderfully quiet,0.5994,,,,,,,,10.1,10.3,0.9,0.2,0.1,5.0,0.36
Gaasperplas,193,2020-02-07,Gaasperplas,official,52.3069241,4.9864444,Just great for a walk. Campsite around the corner and S-Bahn to the center of Amsterdam very close. Great for sightseeing,0.8481,,,,,,,,4.6,4.3,8.2,0.0,0.0,5.0,0.36
Gaasperplas,193,2020-02-02,Gaasperplas,official,52.3069241,4.9864444,Oke,0.0,,,,,,,,7.0,8.8,0.0,6.2,6.2,5.0,0.36
Gaasperplas,193,2020-01-23,Gaasperplas,official,52.3069241,4.9864444,Lots of water...brings Ur trunks,0.0,,,,,,,,1.8,5.5,0.4,0.0,0.0,5.0,0.36
Gaasperplas,193,2020-01-03,Gaasperplas,official,52.3069241,4.9864444,"Gaasperplas is a public park where the greats among the raggea artists like Morgan Heritage, Alborosie,Tarrus Riley, third world, Etana, Ziggy Marley, kimani Marley and many others perform.
In the summer months, every year, it is a surprise which artists, are brought in by the organization of reggae lake festival. Customer Friendly. Partially wheelchair friendly with guidance. It is very busy.  Long queues for tickets, still goes smoothly, public restrooms available. Dogs on leash. Buses 41, 44, end stop metro 53. gaasperplas. From station Duivendrecht change to metro 54 direction CS and change at van der Made road to metro 53, direction gaasperplas final stop for this big reggae festival two days long.",0.9186,,,,,,,,6.9,7.6,0.0,5.6,2.6,5.0,0.36
Gaasperplas,193,2019-11-27,Gaasperplas,official,52.3069241,4.9864444,Place to be. Relaxe omgeving,0.0,,,,,,,,6.9,10.3,0.2,8.9,8.0,5.0,0.36
Gaasperplas,193,2019-11-15,Gaasperplas,official,52.3069241,4.9864444,Nickel,0.0,,,,,,,,4.9,4.5,0.0,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-11-03,Gaasperplas,official,52.3069241,4.9864444,Great campsite and cheap.,0.6249,,,,,,,,3.8,10.1,2.0,4.6,4.6,5.0,0.36
Gaasperplas,193,2019-10-27,Gaasperplas,official,52.3069241,4.9864444,"Perfect place to hang out, not far from Amsterdam. If you want to get out of the city, this is the place for you",0.6124,,,,,,,,4.9,10.0,4.3,0.8,0.3,5.0,0.36
Gaasperplas,193,2019-10-23,Gaasperplas,official,52.3069241,4.9864444,Nice dive site very varied bottom,0.4215,,,,,,,,2.6,11.0,3.9,0.0,-0.1,5.0,0.36
Gaasperplas,193,2019-10-02,Gaasperplas,official,52.3069241,4.9864444,Beautiful area with a lake in centre.. peaceful n relaxing place,0.8834,4.2,41.0,12.9,0.5,,,,4.5,10.8,6.3,2.7,3.6,5.0,0.36
Gaasperplas,193,2019-09-11,Gaasperplas,official,52.3069241,4.9864444,Very good campsite for visiting Amsterdam. Close to the Metro.,0.4927,5.1,51.0,15.2,0.6,,,,6.0,15.6,0.0,7.9,8.3,5.0,0.36
Gaasperplas,193,2019-08-27,Gaasperplas,official,52.3069241,4.9864444,"Great location
Been there at the Reggae lake festival 24 /25 Aug 2019
Super location with good public transport connection
Parking nearby
Good accommodation in and around the park
Camping Gaasper par
Tulpin
And hotel gaasperplas campina hotel

In a word great",0.9686,9.7,120.0,26.4,4.0,,,0.5,2.2,25.1,12.2,0.2,0.2,5.0,0.36
Gaasperplas,193,2019-08-06,Gaasperplas,official,52.3069241,4.9864444,Swimming,0.0,5.0,56.0,21.2,0.5,,,,5.0,19.2,8.1,0.0,-0.1,5.0,0.36
Gaasperplas,193,2019-07-21,Gaasperplas,official,52.3069241,4.9864444,"Tasty, beautiful, and for free! XD",0.906,,,,,,,,4.4,18.8,12.2,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-07-21,Gaasperplas,official,52.3069241,4.9864444,"Beautiful, quiet location",0.5994,,,,,,,,4.4,18.8,12.2,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-06-30,Gaasperplas,official,52.3069241,4.9864444,Wonderful camping area not too far from the centre.,0.5719,,,,,,,,5.0,20.0,11.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-05-25,Gaasperplas,official,52.3069241,4.9864444,"Nice walk,",0.4215,,,,,,,,2.4,13.2,5.1,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-05-06,Gaasperplas,official,52.3069241,4.9864444,Nice park,0.4215,10.9,96.0,9.8,0.8,,,,3.7,7.6,2.1,0.0,-0.1,5.0,0.36
Gaasperplas,193,2019-04-21,Gaasperplas,official,52.3069241,4.9864444,Very nice place,0.4754,,,,,,,,3.5,15.1,13.2,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-04-20,Gaasperplas,official,52.3069241,4.9864444,A great place to spend a picnic with family and friends,0.802,,,,,,,,4.8,16.8,13.2,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-03-17,Gaasperplas,official,52.3069241,4.9864444,"Very nice and big park, for fun and relaxing.",0.8622,,,,,,,,9.0,6.9,7.7,4.4,4.8,5.0,0.36
Gaasperplas,193,2019-03-13,Gaasperplas,official,52.3069241,4.9864444,"Very quiet village or neighborhood of Amsterdam, the subway arrives there so it is quite good if you travel to Amsterdam and want more tranquility.",0.764,,,,,,,,11.3,7.7,1.1,2.9,2.2,5.0,0.36
Gaasperplas,193,2019-03-11,Gaasperplas,official,52.3069241,4.9864444,Great place to walk your dog!,0.6588,,,,,,,,10.2,5.3,5.9,1.0,1.4,5.0,0.36
Gaasperplas,193,2019-02-13,Gaasperplas,official,52.3069241,4.9864444,"A beautiful lake and surrounding woodland.But their are eastern Europeans living in those woods.And when they are drunk mostly in the evening,you should not go anywhere near that place.They are very aggressive.",0.1548,,,,,,,,5.0,6.2,4.1,0.0,0.0,5.0,0.36
Gaasperplas,193,2019-02-08,Gaasperplas,official,52.3069241,4.9864444,Lovely hiking area with the dogs,0.5859,,,,,,,,10.2,7.9,0.0,7.5,1.9,5.0,0.36
Gaasperplas,193,2018-12-11,Gaasperplas,official,52.3069241,4.9864444,A very beautiful park around a recreational lake in Amsterdam's South East area.,0.6361,7.3,61.0,7.7,0.6,,,,2.4,4.5,2.0,1.2,0.9,5.0,0.36
Gaasperplas,193,2018-10-30,Gaasperplas,official,52.3069241,4.9864444,Beautiful piece of nature in a busy city. Site also of Reggae Lake Festival!,0.8122,,,,,,,,6.8,6.2,0.1,12.8,21.5,5.0,0.36
Gaasperplas,193,2018-10-30,Gaasperplas,official,52.3069241,4.9864444,Not very big but nice set up,0.6243,,,,,,,,6.8,6.2,0.1,12.8,21.5,5.0,0.36
Gaasperplas,193,2018-10-28,Gaasperplas,official,52.3069241,4.9864444,Perplas,0.0,,,,,,,,6.0,5.3,8.7,0.0,0.0,5.0,0.36
Gaasperplas,193,2018-10-17,Gaasperplas,official,52.3069241,4.9864444,Good parking facilities,0.4404,,,,,,,,2.5,14.2,7.7,0.0,0.0,5.0,0.36
Gaasperplas,193,2018-08-13,Gaasperplas,official,52.3069241,4.9864444,Perfect for living there and going into town,0.5719,,,,,,,,4.0,19.1,3.0,1.5,1.3,5.0,0.36
Gaasperplas,193,2018-07-25,Gaasperplas,official,52.3069241,4.9864444,Here you can still enjoy a piece of nature and peace t.o. in the busy city.,0.7717,,,24.8,1.0,90.0,410.0,,2.7,24.6,8.5,0.0,0.0,5.0,0.36
Gaasperplas,193,2018-07-20,Gaasperplas,official,52.3069241,4.9864444,Nice picnick place.,0.4215,,,,,,,,3.3,20.1,12.3,0.0,0.0,5.0,0.36
Gaasperplas,193,2018-07-19,Gaasperplas,official,52.3069241,4.9864444,Nice.,0.4215,,,,,,,2.1,3.6,19.9,11.7,0.0,0.0,5.0,0.36
Gaasperplas,193,2018-06-08,Gaasperplas,official,52.3069241,4.9864444,Very nice place to unwind or barbecue! Quiet place without tourists.,0.5244,,,,,15.0,20.0,,3.0,17.8,0.0,0.1,0.1,5.0,0.36
Gaasperplas,193,2018-05-21,Gaasperplas,official,52.3069241,4.9864444,Beautiful natural...... i love it,0.8442,,,,,,,,4.1,19.2,10.3,0.0,-0.1,5.0,0.36
Gaasperplas,193,2018-01-16,Gaasperplas,official,52.3069241,4.9864444,Beautiful recreational area,0.5994,,,,,,,,9.1,5.5,2.9,1.8,2.6,5.0,0.36
Gaasperplas,193,2017-09-10,Gaasperplas,official,52.3069241,4.9864444,Quiet beautiful place to hike and relax,0.7783,,,,,,,,7.0,14.4,5.8,1.5,0.5,5.0,0.36
Gaasperplas,193,2017-08-31,Gaasperplas,official,52.3069241,4.9864444,Been to the dog beach. The dogs enjoyed playing and swimming.,0.6249,,,,,,,,3.5,14.8,6.6,4.2,1.9,5.0,0.36
Gaasperplas,193,2017-01-30,Gaasperplas,official,52.3069241,4.9864444,"Local recreation on the outskirts of Amsterdam, metro goes directly to Amsterdam city center",0.0,,,,,,,,4.6,5.0,0.2,7.4,6.2,5.0,0.36
Gaasperplas,193,2016-10-12,Gaasperplas,official,52.3069241,4.9864444,"Gaasperplas is a blue-green bubble of tranquillity with water as the central element. During the walk, the city feels far away but it isn't. Narrow white paths attract you with quiet corners and wooden benches. Beautiful nature to admire.",0.9398,,,,,,,,5.7,9.4,0.5,0.0,0.0,5.0,0.36
Gaasperplas strand,39,2023-07-10,Gaasperplas,official,52.3060961,4.9879584,"Positive points:
Gaasperplas is  accessible by metro and public transport.
Nice place for families and for children from different age groups.

None positive points:
Water quality wasn’t that good during the last visit.",0.9169,,,23.9,1.0,15.0,180.0,0.5,3.8,20.0,14.2,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-08-27,Gaasperplas,official,52.3060961,4.9879584,Nice and often crowded beach to lie on. Mainly fun with children. Too bad there is no real catering facilities present. Unfortunately no lighting on the toilets present in the evening hours. A simple solar light would solve this already.,-0.34,,,,,,,,3.3,17.0,4.9,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-08-26,Gaasperplas,official,52.3060961,4.9879584,Amazingly beautiful for children,0.6361,,,,,,,,4.5,18.7,2.8,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-08-25,Gaasperplas,official,52.3060961,4.9879584,Nice and free of charge,0.7269,,,,,,,,4.2,23.9,9.8,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-08-12,Gaasperplas,official,52.3060961,4.9879584,Very nice also for adults.,0.4754,,,,,,,,3.9,24.7,13.9,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-08-09,Gaasperplas,official,52.3060961,4.9879584,Easy to cycle around. The beach should be better maintained.,0.7003,,,,,,,,4.0,19.7,13.7,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-07-08,Gaasperplas,official,52.3060961,4.9879584,What a relief under the smoke of the city,0.4767,6.5,70.0,19.0,0.4,,,,3.7,17.4,11.6,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-06-17,Gaasperplas,official,52.3060961,4.9879584,Nice and quiet,0.4215,,,,,,,,3.8,22.6,11.1,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-06-14,Gaasperplas,official,52.3060961,4.9879584,Beautiful place for walks ,0.5994,10.7,113.0,19.2,0.3,,,,2.0,15.6,7.5,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-06-11,Gaasperplas,official,52.3060961,4.9879584,Lovely place to come relax by the water. Lots of things to do for kids and for adults to get some sunshine. Definitely a good place to go to on a sunny day.,0.9538,,,,,,,,5.1,17.2,15.0,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2022-01-08,Gaasperplas,official,52.3060961,4.9879584,"Noce one especially in summer. Small, best for children",0.6369,,,,,,,,6.3,4.0,0.0,11.5,15.7,4.0,0.29
Gaasperplas strand,39,2021-06-12,Gaasperplas,official,52.3060961,4.9879584,Just delicious and natural,0.7351,,,,,,,,4.7,15.8,11.3,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2021-02-14,Gaasperplas,official,52.3060961,4.9879584,Cozy!!!!!,0.0,,,,,,,,6.4,-0.8,7.9,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2020-08-12,Gaasperplas,official,52.3060961,4.9879584,Super nice beach,0.7717,,,,,,,,2.8,26.6,10.7,0.0,0.0,4.0,0.29
Gaasperplas strand,39,2020-07-28,Gaasperplas,official,52.3060961,4.9879584,"Super beautiful & mega large nature reserve!
Swimming play beach sunbathing area playground slide BBQ party
Really worth a x to go, with the whole family a day out",0.937,,,,,,,,7.1,17.6,8.3,0.1,0.1,4.0,0.29
Gaasperplas strand,39,2018-08-08,Gaasperplas,official,52.3060961,4.9879584,"I enjoy swimming here, the water is clean and has space in nature",0.7096,,,,,20.0,20.0,,5.6,19.7,5.0,1.0,3.5,4.0,0.29
Gaasperplas strand,39,2017-10-22,Gaasperplas,official,52.3060961,4.9879584,"Very nice beach, but too bad that from April 1 to October 1 you are not allowed there with dogs!!!",-0.6787,,,,,,,,8.0,11.5,1.2,9.3,10.7,4.0,0.29
Playground Gaasperplaspark,13,2023-06-01,Gaasperplas,official,52.3092559,4.9883971,"nice for a bbq, to play with kids or just sit and enjoy :)",0.886,,,,,,,,5.2,12.4,2.2,0.0,0.0,7.0,0.5
Playground Gaasperplaspark,13,2023-03-20,Gaasperplas,official,52.3092559,4.9883971,"Good evening, it was a day. No, it was not a day. It was much more beautiful. Unspeakable views. It is for peace and tranquility in picturesque nature. Everything is beautiful. It is also suitable for children. Barbecue and play with all the games is great. Thank you.",0.9798,,,,,,,,6.0,8.4,0.0,10.6,5.5,7.0,0.5
Playground Gaasperplaspark,13,2022-11-02,Gaasperplas,official,52.3092559,4.9883971,beautifully landscaped park for young and old and especially for the morning dog walk,0.5719,,,,,,,,7.9,12.2,7.5,2.2,6.2,7.0,0.5
Playground Gaasperplaspark,13,2021-11-15,Gaasperplas,official,52.3092559,4.9883971,Fat playground! Fun shallow water play for kids!,0.7418,,,,,,,,3.3,6.7,0.0,0.0,0.0,7.0,0.5
Playground Gaasperplaspark,13,2021-06-29,Gaasperplas,official,52.3092559,4.9883971,Greetings and clean,0.6705,,,,,,,,3.5,16.4,0.0,2.9,3.7,7.0,0.5
Playground Gaasperplaspark,13,2019-08-30,Gaasperplas,official,52.3092559,4.9883971,"Nice play equipment, cleaner than other playgrounds, lots of things to do except swimming.",0.7096,,,,,,,,3.4,17.3,9.7,0.0,0.0,7.0,0.5
Playground Gaasperplaspark,13,2018-11-11,Gaasperplas,official,52.3092559,4.9883971,Nice playground. The kids loved it here.,0.7717,,,,,,,,6.3,10.9,1.5,1.7,4.8,7.0,0.5
Waterspeelplaats Gaasperpark,16,2023-08-21,Gaasperplas,official,52.3092559,4.9883971,"Unfortunately, not much attention is paid to Gaasperplas anymore. The lake is not cleaned like it used to be. As a result it remains dirty and the children cannot play in it at all somewhat.",-0.8149,,,,,,,,2.3,19.3,13.2,0.0,0.0,7.0,0.5
Waterspeelplaats Gaasperpark,16,2023-06-13,Gaasperplas,official,52.3092559,4.9883971,"Lovely afternoon entertained with the kids. Water was clean (some plants but they also make it clean of course). Sand was nice, playground was too much in the sun, was hot at 30gr to use.
Toilets I did not use, are there, bring toilet paper yourself I heard.
Visitors all family people, music along, bbq on, good atmosphere and no nuisance, everything was fine next to each other.",0.9393,,,,,,,,5.8,22.2,15.3,0.0,0.0,7.0,0.5
Waterspeelplaats Gaasperpark,16,2023-06-04,Gaasperplas,official,52.3092559,4.9883971,A nice spacious garden with most amenities and you can barbecue there,0.4215,,,,,,,,4.9,15.5,15.2,0.0,0.0,7.0,0.5
Waterspeelplaats Gaasperpark,16,2022-09-02,Gaasperplas,official,52.3092559,4.9883971,"Water playground, cable car, toilets, water tap, playground equipment.",0.0,2.8,30.0,19.2,0.3,,,,4.4,19.7,10.2,0.0,0.0,7.0,0.5
Waterspeelplaats Gaasperpark,16,2021-06-16,Gaasperplas,official,52.3092559,4.9883971,It is a favorite place for children and their parents on these hot summer days. It is a lot of fun for children and adults. Sometimes you might get lucky and listen to the tunes of an Armenian cümbüş player.,0.8442,10.9,126.0,24.1,2.0,,,0.5,2.9,21.7,14.5,0.0,0.0,7.0,0.5
Waterspeelplaats Gaasperpark,16,2020-08-12,Gaasperplas,official,52.3092559,4.9883971,Fun especially for heke little kids,0.5106,,,,,,,,2.8,26.6,10.7,0.0,0.0,7.0,0.5
Park de Oeverlanden,1435,2023-11-25,Nieuwemeer,official,52.3349228,4.8191074,The riparian lands are a small piece of nature on the edge of the New Lake.,0.0,,,,,,,,4.8,5.6,3.5,2.3,3.5,4.0,0.29
Park de Oeverlanden,1435,2023-10-04,Nieuwemeer,official,52.3349228,4.8191074,"Nice place to relax. Very clear water to swim in. Be aware, it gets very deep when you go further out.",0.8221,,,,,,,,6.0,15.5,3.2,0.0,-0.1,4.0,0.29
