Location,Location_Unique,Status,Reviewer,Rating,Relative time,Scraping time,Review,Translated_Review,Cleaned_Review
Gaasperplas,Gaasperplas,official,Marc De Lange,5 stars,a year ago,"2023-11-13,00:10:37",heerlijk fris,deliciously fresh,deliciously fresh
Gaasperplas,Gaasperplas,official,Wafaa Af,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Erwin Wilbers,4 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Renato Diniz,5 stars,a year ago,"2023-11-13,00:10:37",this place is beautiful... the river has transparent water and if possible stay until sunset  an unforgettable image. ,this place is beautiful... the river has transparent water and if possible stay until sunset an unforgettable image.,this place is beautiful... the river has transparent water and if possible stay until sunset an unforgettable image.
Gaasperplas,Gaasperplas,official,William Bastemeyer,4 stars,a year ago,"2023-11-13,00:10:37","Love this place, have had a lot of Family  BBQ's here. Nice park for a all ages. Must see place. This have had some changes over the year, yet it is the same.","Love this place, have had a lot of Family BBQ's here. Nice park for a all ages. Must see place. This have had some changes over the year, yet it is the same.","love this place, have had a lot of family bbq's here. nice park for a all ages. must see place. this have had some changes over the year, yet it is the same."
Gaasperplas,Gaasperplas,official,Teun Verhaar,4 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Fariek Jahangier,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Tom van Hattum,5 stars,a year ago,"2023-11-13,00:10:37",Heerlijk ravotten met de homd,Lovely romp with the homd,lovely romp with the homd
Gaasperplas,Gaasperplas,official,Camila Tovar V,5 stars,a year ago,"2023-11-13,00:10:37","So beautiful park to walk, run or have a bbq, picnic","So beautiful park to walk, run or have a bbq, picnic","so beautiful park to walk, run or have a bbq, picnic"
Gaasperplas,Gaasperplas,official,J.L. Vos,4 stars,a year ago,"2023-11-13,00:10:37",Mooi natuur gebied en dat in Amsterdam.,Beautiful natural area and that in Amsterdam.,beautiful natural area and that in amsterdam.
Gaasperplas,Gaasperplas,official,Dennis Zuidervaart,4 stars,a year ago,"2023-11-13,00:10:37","kan hier lekker rustig wandelen, picnikken bbqen....en eventueel zwemmen.","can take nice quiet walks here, picnicking bbqs....and possibly swimming.","can take nice quiet walks here, picnicking bbqs....and possibly swimming."
Gaasperplas,Gaasperplas,official,Saloni Sharma,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Marlou van Hoorn,4 stars,a year ago,"2023-11-13,00:10:37",Ook mooi voor wandeling.,Also nice for hiking.,also nice for hiking.
Gaasperplas,Gaasperplas,official,Sebastian Faust,5 stars,a year ago,"2023-11-13,00:10:37",Parken und ab in die Innenstadt,Park and head into the city center,park and head into the city center
Gaasperplas,Gaasperplas,official,adem tutucu,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Catering Amsterdam,4 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Mo Flip,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Michel Official,4 stars,a year ago,"2023-11-13,00:10:37",Rustig plaats,Quiet place,quiet place
Gaasperplas,Gaasperplas,official,Natalie van Ham,5 stars,a year ago,"2023-11-13,00:10:37",Rondje Gaasperplas = een uur wandelen of half uurtje joggen :),Around Gaasperplas = one hour walk or half hour jog :),around gaasperplas = one hour walk or half hour jog :)
Gaasperplas,Gaasperplas,official,Marinus van Cappellen,5 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Clara Favero,4 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,Olga Arjona,5 stars,a year ago,"2023-11-13,00:10:37",Espectacular,Spectacular,spectacular
Gaasperplas,Gaasperplas,official,John Sebastian Lopez Useche,4 stars,a year ago,"2023-11-13,00:10:37",,,
Gaasperplas,Gaasperplas,official,René de Groot,5 stars,2 years ago,"2023-11-13,00:10:37",Mijn favoriete stuk natuur. Heerlijk om rond de plas te wandelen.,My favorite piece of nature. Lovely to walk around the pond.,my favorite piece of nature. lovely to walk around the pond.
Gaasperplas,Gaasperplas,official,ishu mehta,4 stars,2 years ago,"2023-11-13,00:10:37",Visited the park. There is a small artificial beach there. However the park is not well maintained I think.,Visited the park. There is a small artificial beach there. However the park is not well maintained I think.,visited the park. there is a small artificial beach there. however the park is not well maintained i think.
Gaasperplas,Gaasperplas,official,Ιορδάνης Σακαλάκης,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,VA R.,5 stars,2 years ago,"2023-11-13,00:10:38",Het Gaasperplas is een mooie verbindingsplaats tussen Amsterdam Zuidoost en Weesp. Een leuke locatie voor hardlopers en fietsers.,The Gaasperplas is a beautiful connecting place between Amsterdam Southeast and Weesp. A nice location for runners and cyclists.,the gaasperplas is a beautiful connecting place between amsterdam southeast and weesp. a nice location for runners and cyclists.
Gaasperplas,Gaasperplas,official,Mascha Pronk,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Roberto Serra,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Felix Thoen,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Dibyarup Bera,5 stars,2 years ago,"2023-11-13,00:10:38","You will understand what peace is. If you are disturbed or irritated, come and visit this place. Green and blue will give relief to your mind","You will understand what peace is. If you are disturbed or irritated, come and visit this place. Green and blue will give relief to your mind","you will understand what peace is. if you are disturbed or irritated, come and visit this place. green and blue will give relief to your mind"
Gaasperplas,Gaasperplas,official,Charlotte Lambourg,5 stars,2 years ago,"2023-11-13,00:10:38","Really nice park/lake/forest-ish to walk, run,bike around and swim. Also possible to windsurf here. Overall a nice walk!","Really nice park/lake/forest-ish to walk, run,bike around and swim. Also possible to windsurf here. Overall a nice walk!","really nice park/lake/forest-ish to walk, run,bike around and swim. also possible to windsurf here. overall a nice walk!"
Gaasperplas,Gaasperplas,official,Nestor Neto,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Gourav Sinha,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Veronica De Langen,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Lucas Brandttt,4 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,George Kofi Hughes,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Avinaash Mahabiersing,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Iain Croll,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Alina Ulmeanu,5 stars,2 years ago,"2023-11-13,00:10:38","This place is like heaven on earth! I would spend hours watching the birds and feeling the breeze in my hair. Endless green fields, rabbits everywhere and nice people walking their dogs..","This place is like heaven on earth! I would spend hours watching the birds and feeling the breeze in my hair. Endless green fields, rabbits everywhere and nice people walking their dogs..","this place is like heaven on earth! i would spend hours watching the birds and feeling the breeze in my hair. endless green fields, rabbits everywhere and nice people walking their dogs.."
Gaasperplas,Gaasperplas,official,Steven Daniels,5 stars,2 years ago,"2023-11-13,00:10:38", , ,
Gaasperplas,Gaasperplas,official,احمد المحمود,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Mike Walsteijn,5 stars,2 years ago,"2023-11-13,00:10:38",Leuk park om met de hond te lopen,Nice park to walk the dog,nice park to walk the dog
Gaasperplas,Gaasperplas,official,Krystian Dedyk,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Reshmitha Jose,4 stars,2 years ago,"2023-11-13,00:10:38",A relatively unexplored spot to witness beautiful sunsets . The place also has a dog park with a tiny beach full of little paw impressions on the sand!,A relatively unexplored spot to witness beautiful sunsets . The place also has a dog park with a tiny beach full of little paw impressions on the sand!,a relatively unexplored spot to witness beautiful sunsets . the place also has a dog park with a tiny beach full of little paw impressions on the sand!
Gaasperplas,Gaasperplas,official,Kudakwashe Zimunya,4 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Kim,4 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Rene Kuijer,4 stars,2 years ago,"2023-11-13,00:10:38",Uitstekende duikplaats. Mooi onderwaterlandschap,Excellent dive site. Beautiful underwater scenery,excellent dive site. beautiful underwater scenery
Gaasperplas,Gaasperplas,official,Thomas Meijer,4 stars,2 years ago,"2023-11-13,00:10:38",Nice for a good walk.,Nice for a good walk.,nice for a good walk.
Gaasperplas,Gaasperplas,official,Rii Jenkins,5 stars,2 years ago,"2023-11-13,00:10:38",,,
Gaasperplas,Gaasperplas,official,Masterbin pinguin,5 stars,2 years ago,"2023-11-13,00:10:38",Fresh area,Fresh area,fresh area
Gaasperplas,Gaasperplas,official,Lea Lobbe,5 stars,2 years ago,"2023-11-13,00:10:38",Erg coronaproef,Very corona test,very corona test
Gaasperplas,Gaasperplas,official,RUPAM BHATTACHARYA,5 stars,2 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,lenoor 9,3 stars,2 years ago,"2023-11-13,00:10:39",Verrassend,Rattling,rattling
Gaasperplas,Gaasperplas,official,Esther Lof,4 stars,2 years ago,"2023-11-13,00:10:39","Mooie plas, mooi park om met mijn 2 Berners te lopen","Beautiful lake, nice park to walk with my 2 Berners","beautiful lake, nice park to walk with my 2 berners"
Gaasperplas,Gaasperplas,official,Roel Verwer,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Guillaumine bronne,5 stars,3 years ago,"2023-11-13,00:10:39","Love the nature. Gives a peaceful vibe, during summer you can go picnic there.","Love the nature. Gives a peaceful vibe, during summer you can go picnic there.","love the nature. gives a peaceful vibe, during summer you can go picnic there."
Gaasperplas,Gaasperplas,official,Beniamin Baczewski,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Mara Isaacson,4 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Maxwell Spaine,5 stars,3 years ago,"2023-11-13,00:10:39",Lovely walk.,Lovely walk.,lovely walk.
Gaasperplas,Gaasperplas,official,raanan ziser,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Suzanne M,5 stars,3 years ago,"2023-11-13,00:10:39",Heerlijk rondje wandelen rondom de Gaasperplas (5km). Voor de hond zijn er 2 zwemstranden (1 klein en 1 groot) langs de route. Van 15 oktober t/m 15 april mag je overal los ook op de mensen stranden.,"Lovely walk around the Gaasperplas (5km). For the dog there are 2 swimming beaches (1 small and 1 large) along the route. From October 15 to April 15 you can run free everywhere, including the human beaches.","lovely walk around the gaasperplas (5km). for the dog there are 2 swimming beaches (1 small and 1 large) along the route. from october 15 to april 15 you can run free everywhere, including the human beaches."
Gaasperplas,Gaasperplas,official,Aartie Birdja,4 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Lucia Rossel,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Lukas Fricke,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Vivien Fakhoury,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Lyd B,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Jah Nico Rastafari Dubmus,5 stars,3 years ago,"2023-11-13,00:10:39",Amsterdams meertje,Amsterdam lake,amsterdam lake
Gaasperplas,Gaasperplas,official,Laith,2 stars,3 years ago,"2023-11-13,00:10:39",Nice,Nice,nice
Gaasperplas,Gaasperplas,official,Sven de Wildt,5 stars,3 years ago,"2023-11-13,00:10:39",Mooiste plekje Amsterdam,Most beautiful place in Amsterdam,most beautiful place in amsterdam
Gaasperplas,Gaasperplas,official,Mokum Dutchy,5 stars,3 years ago,"2023-11-13,00:10:39",Al meerdere keren deze plas in het rond gevaren op het Supboard.,Already sailed around this lake several times on the Supboard.,already sailed around this lake several times on the supboard.
Gaasperplas,Gaasperplas,official,Nuria Rosa Andreo,5 stars,3 years ago,"2023-11-13,00:10:39",Lugar muy agradable,Very nice place,very nice place
Gaasperplas,Gaasperplas,official,Joris Does,4 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Miguel Cervera Lino,4 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Claudia Diana Schulz,5 stars,3 years ago,"2023-11-13,00:10:39",Zentrumsnah und doch herrlich ruhig,Close to the center and yet wonderfully quiet,close to the center and yet wonderfully quiet
Gaasperplas,Gaasperplas,official,Irma Devos,5 stars,3 years ago,"2023-11-13,00:10:39",,,
Gaasperplas,Gaasperplas,official,Li Ro,5 stars,3 years ago,"2023-11-13,00:10:39",Einfach toll zum Spazieren gehen. Campingplatz um die Ecke und S Bahn zum Zentrum Amsterdam ganz nah. Top für Seightseeing,Just great for a walk. Campsite around the corner and S-Bahn to the center of Amsterdam very close. Great for sightseeing,just great for a walk. campsite around the corner and s-bahn to the center of amsterdam very close. great for sightseeing
Gaasperplas,Gaasperplas,official,Wessel Kooger,3 stars,3 years ago,"2023-11-13,00:10:39",Oke,Oke,oke
Gaasperplas,Gaasperplas,official,James McMinn-Loughlin,3 stars,3 years ago,"2023-11-13,00:10:40",Lots of water...brings Ur trunks,Lots of water...brings Ur trunks,lots of water...brings ur trunks
Gaasperplas,Gaasperplas,official,Reynold Rudge,4 stars,3 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Petra Audie (tante Mokkel),5 stars,3 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,CEANTY Vincent van der Horst,5 stars,3 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Lucia Van Kallen,5 stars,3 years ago,"2023-11-13,00:10:40","Gaasperplas is een openbare park waar de groten onder de raggea artisten als Morgan Heritage, Alborosie,Tarrus Riley, third world, Etana, Ziggy Marley, kimani Marley en nog vele anderen optreden.
In de zomer maanden is het elk jaar, een verrassing welke artiesten, door de organisatie van reggae lake festival, naar binnen gehaald worden. Klantvriendelijk. Gedeeltelijk rolstoelvriendelijk met begeleiding. Het is zeer druk.  Lange wachtrijen voor kaarten, gaat toch vlot, openbare toiletten aanwezig. Honden aan de lijn. Bussen 41, 44, eind halte metro 53. gaasperplas. Van uit Station Duivendrecht overstappen op de metro 54 richtig CS en overstappen aan de van der Made weg op de metro 53, richting gaasperplas eindhalte voor dit grote reggae festival twee dagen lang.","Gaasperplas is a public park where the greats among the raggea artists like Morgan Heritage, Alborosie,Tarrus Riley, third world, Etana, Ziggy Marley, kimani Marley and many others perform.
In the summer months, every year, it is a surprise which artists, are brought in by the organization of reggae lake festival. Customer Friendly. Partially wheelchair friendly with guidance. It is very busy.  Long queues for tickets, still goes smoothly, public restrooms available. Dogs on leash. Buses 41, 44, end stop metro 53. gaasperplas. From station Duivendrecht change to metro 54 direction CS and change at van der Made road to metro 53, direction gaasperplas final stop for this big reggae festival two days long.","gaasperplas is a public park where the greats among the raggea artists like morgan heritage, alborosie,tarrus riley, third world, etana, ziggy marley, kimani marley and many others perform. in the summer months, every year, it is a surprise which artists, are brought in by the organization of reggae lake festival. customer friendly. partially wheelchair friendly with guidance. it is very busy. long queues for tickets, still goes smoothly, public restrooms available. dogs on leash. buses 41, 44, end stop metro 53. gaasperplas. from station duivendrecht change to metro 54 direction cs and change at van der made road to metro 53, direction gaasperplas final stop for this big reggae festival two days long."
Gaasperplas,Gaasperplas,official,Gerd De Smyter,5 stars,3 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Eric Kensdell,5 stars,3 years ago,"2023-11-13,00:10:40",Place to be. Relaxe omgeving,Place to be. Relaxe omgeving,place to be. relaxe omgeving
Gaasperplas,Gaasperplas,official,Stef Cortie,4 stars,3 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,goodbobovibes,5 stars,3 years ago,"2023-11-13,00:10:40",Nickel,Nickel,nickel
Gaasperplas,Gaasperplas,official,Andreas Kämmer,5 stars,4 years ago,"2023-11-13,00:10:40",Tolle Campingplatz und günstig.,Great campsite and cheap.,great campsite and cheap.
Gaasperplas,Gaasperplas,official,Daniel Kutschera,5 stars,4 years ago,"2023-11-13,00:10:40","Perfekter Ort zum abhängen, nicht weit weg von Amsterdam. Wer mal aus der Stadt raus will ist hier genau richtig","Perfect place to hang out, not far from Amsterdam. If you want to get out of the city, this is the place for you","perfect place to hang out, not far from amsterdam. if you want to get out of the city, this is the place for you"
Gaasperplas,Gaasperplas,official,Jos van Beers,4 stars,4 years ago,"2023-11-13,00:10:40",Leuk duikstek heel afwisselend bodem,Nice dive site very varied bottom,nice dive site very varied bottom
Gaasperplas,Gaasperplas,official,S Nahr,5 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Amita Lakhotia,5 stars,4 years ago,"2023-11-13,00:10:40",Beautiful area with a lake in centre.. peaceful n relaxing place,Beautiful area with a lake in centre.. peaceful n relaxing place,beautiful area with a lake in centre.. peaceful n relaxing place
Gaasperplas,Gaasperplas,official,Janish W,4 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Roger Johansson,4 stars,4 years ago,"2023-11-13,00:10:40",Mycket bra camping för besök av Amsterdam. Nära till Metro.,Very good campsite for visiting Amsterdam. Close to the Metro.,very good campsite for visiting amsterdam. close to the metro.
Gaasperplas,Gaasperplas,official,anthony long,5 stars,4 years ago,"2023-11-13,00:10:40","Geweldige lokatie
Ben er geweest op het Reggae lake festival 24 /25 Aug 2019
Super locatie met goede OV verbinding
Parkeer gelegenheid in de buurt
Goede overnachtings gelegenheden in en rond om het park
Camping Gaasper par
Tulpin
En hotel gaasperplas campina-hotel

In een woord geweldig","Great location
Been there at the Reggae lake festival 24 /25 Aug 2019
Super location with good public transport connection
Parking nearby
Good accommodation in and around the park
Camping Gaasper par
Tulpin
And hotel gaasperplas campina hotel

In a word great",great location been there at the reggae lake festival 24 /25 aug 2019 super location with good public transport connection parking nearby good accommodation in and around the park camping gaasper par tulpin and hotel gaasperplas campina hotel in a word great
Gaasperplas,Gaasperplas,official,AMIR Around the Netherlands,2 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,michel langeveld,4 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,floris van dulmen,5 stars,4 years ago,"2023-11-13,00:10:40",Zwemmen,Swimming,swimming
Gaasperplas,Gaasperplas,official,Leonel Cardoso,5 stars,4 years ago,"2023-11-13,00:10:40","Tasty, beautiful, and for free! XD","Tasty, beautiful, and for free! XD","tasty, beautiful, and for free! xd"
Gaasperplas,Gaasperplas,official,Gaye Ah,4 stars,4 years ago,"2023-11-13,00:10:40",Très beau lieux calme,"Beautiful, quiet location","beautiful, quiet location"
Gaasperplas,Gaasperplas,official,Kees Rijken,5 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Selda Baysan,5 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Michael Coyle,5 stars,4 years ago,"2023-11-13,00:10:40",Wonderful camping area not too far from the centre.,Wonderful camping area not too far from the centre.,wonderful camping area not too far from the centre.
Gaasperplas,Gaasperplas,official,Mark Van de Velde,4 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,Michiel Houdijk,5 stars,4 years ago,"2023-11-13,00:10:40",,,
Gaasperplas,Gaasperplas,official,frans bastiaens,5 stars,4 years ago,"2023-11-13,00:10:41",,,
Gaasperplas,Gaasperplas,official,Helga Kommers,5 stars,4 years ago,"2023-11-13,00:10:41","Lekker wandelen,","Nice walk,","nice walk,"
Gaasperplas,Gaasperplas,official,Birgit W (BitKloepplerin),5 stars,4 years ago,"2023-11-13,00:10:41",,,
Gaasperplas,Gaasperplas,official,Samuel Lewis,4 stars,4 years ago,"2023-11-13,00:10:41",,,
Gaasperplas,Gaasperplas,official,Claudia Rolando,4 stars,4 years ago,"2023-11-13,00:10:41",Nice park,Nice park,nice park
Gaasperplas,Gaasperplas,official,Benjamin Italiaander,5 stars,4 years ago,"2023-11-13,00:10:41",Heel erg fijne plek,Very nice place,very nice place
Gaasperplas,Gaasperplas,official,Fouad Sabag,5 stars,4 years ago,"2023-11-13,00:10:41",A great place to spend a picnic with family and friends,A great place to spend a picnic with family and friends,a great place to spend a picnic with family and friends
Gaasperplas,Gaasperplas,official,KAMAR AYASO,3 stars,4 years ago,"2023-11-13,00:10:41",,,
Gaasperplas,Gaasperplas,official,Ebony Erica,4 stars,4 years ago,"2023-11-13,00:10:41","Very nice and big park, for fun and relaxing.","Very nice and big park, for fun and relaxing.","very nice and big park, for fun and relaxing."
Gaasperplas,Gaasperplas,official,Jeremy B,4 stars,4 years ago,"2023-11-13,00:10:41",,,
Gaasperplas,Gaasperplas,official,Pablo Ruim,5 stars,4 years ago,"2023-11-13,00:10:41","Pueblo o barrio muy tranquilo de Ámsterdam, llega el metro allí así que está bastante bien por si viajas a Ámsterdam y quieres más tranquilidad","Very quiet village or neighborhood of Amsterdam, the subway arrives there so it is quite good if you travel to Amsterdam and want more tranquility.","very quiet village or neighborhood of amsterdam, the subway arrives there so it is quite good if you travel to amsterdam and want more tranquility."
Gaasperplas,Gaasperplas,official,Saar Shnaider,5 stars,4 years ago,"2023-11-13,00:10:41",Great place to walk your dog!,Great place to walk your dog!,great place to walk your dog!
