Location,Location_Unique,Status,Reviewer,Rating,Relative time,Scraping time,Review
Gaasperplas,Gaasperplas,official,Tom van Hattum,5 stars,a year ago,"2023-11-13,00:10:37",Heerlijk ravotten met de homd
Gaasperplas,Gaasperplas,official,Camila Tovar V,5 stars,a year ago,"2023-11-13,00:10:37","So beautiful park to walk, run or have a bbq, picnic"
Gaasperplas,Gaasperplas,official,J.L. Vos,4 stars,a year ago,"2023-11-13,00:10:37",Mooi natuur gebied en dat in Amsterdam.
Gaasperplas,Gaasperplas,official,Dennis Zuidervaart,4 stars,a year ago,"2023-11-13,00:10:37","kan hier lekker rustig wandelen, picnikken bbqen....en eventueel zwemmen."
Gaasperplas,Gaasperplas,official,Saloni Sharma,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Marlou van Hoorn,4 stars,a year ago,"2023-11-13,00:10:37",Ook mooi voor wandeling.
Gaasperplas,Gaasperplas,official,Sebastian Faust,5 stars,a year ago,"2023-11-13,00:10:37",Parken und ab in die Innenstadt
Gaasperplas,Gaasperplas,official,adem tutucu,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Catering Amsterdam,4 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Mo Flip,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Michel Official,4 stars,a year ago,"2023-11-13,00:10:37",Rustig plaats
Gaasperplas,Gaasperplas,official,Natalie van Ham,5 stars,a year ago,"2023-11-13,00:10:37",Rondje Gaasperplas = een uur wandelen of half uurtje joggen :)
Gaasperplas,Gaasperplas,official,Marinus van Cappellen,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Clara Favero,4 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Olga Arjona,5 stars,a year ago,"2023-11-13,00:10:37",Espectacular
Gaasperplas,Gaasperplas,official,John Sebastian Lopez Useche,4 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,René de Groot,5 stars,2 years ago,"2023-11-13,00:10:37",Mijn favoriete stuk natuur. Heerlijk om rond de plas te wandelen.
Gaasperplas,Gaasperplas,official,ishu mehta,4 stars,2 years ago,"2023-11-13,00:10:37",Visited the park. There is a small artificial beach there. However the park is not well maintained I think.
Gaasperplas,Gaasperplas,official,Ιορδάνης Σακαλάκης,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,VA R.,5 stars,2 years ago,"2023-11-13,00:10:38",Het Gaasperplas is een mooie verbindingsplaats tussen Amsterdam Zuidoost en Weesp. Een leuke locatie voor hardlopers en fietsers.
Gaasperplas,Gaasperplas,official,Mascha Pronk,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Roberto Serra,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Felix Thoen,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Dibyarup Bera,5 stars,2 years ago,"2023-11-13,00:10:38","You will understand what peace is. If you are disturbed or irritated, come and visit this place. Green and blue will give relief to your mind"
Gaasperplas,Gaasperplas,official,Charlotte Lambourg,5 stars,2 years ago,"2023-11-13,00:10:38","Really nice park/lake/forest-ish to walk, run,bike around and swim. Also possible to windsurf here. Overall a nice walk!"
Gaasperplas,Gaasperplas,official,Nestor Neto,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Gourav Sinha,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Veronica De Langen,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Lucas Brandttt,4 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,George Kofi Hughes,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Avinaash Mahabiersing,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Iain Croll,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Alina Ulmeanu,5 stars,2 years ago,"2023-11-13,00:10:38","This place is like heaven on earth! I would spend hours watching the birds and feeling the breeze in my hair. Endless green fields, rabbits everywhere and nice people walking their dogs.."
Gaasperplas,Gaasperplas,official,Steven Daniels,5 stars,2 years ago,"2023-11-13,00:10:38",👍🏿👍🏿👍🏿 …
Gaasperplas,Gaasperplas,official,احمد المحمود,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Mike Walsteijn,5 stars,2 years ago,"2023-11-13,00:10:38",Leuk park om met de hond te lopen
Gaasperplas,Gaasperplas,official,Krystian Dedyk,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Reshmitha Jose,4 stars,2 years ago,"2023-11-13,00:10:38",A relatively unexplored spot to witness beautiful sunsets ❤️. The place also has a dog park with a tiny beach full of little paw impressions on the sand!
Gaasperplas,Gaasperplas,official,Kudakwashe Zimunya,4 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Kim,4 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Rene Kuijer,4 stars,2 years ago,"2023-11-13,00:10:38",Uitstekende duikplaats. Mooi onderwaterlandschap
Gaasperplas,Gaasperplas,official,Thomas Meijer,4 stars,2 years ago,"2023-11-13,00:10:38",Nice for a good walk.
Gaasperplas,Gaasperplas,official,Rii Jenkins,5 stars,2 years ago,"2023-11-13,00:10:38",NA
Gaasperplas,Gaasperplas,official,Masterbin pinguin,5 stars,2 years ago,"2023-11-13,00:10:38",Fresh area
Gaasperplas,Gaasperplas,official,Lea Lobbe,5 stars,2 years ago,"2023-11-13,00:10:38",Erg coronaproef
Gaasperplas,Gaasperplas,official,RUPAM BHATTACHARYA,5 stars,2 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,lenoor 9,3 stars,2 years ago,"2023-11-13,00:10:39",Verrassend
Gaasperplas,Gaasperplas,official,Esther Lof,4 stars,2 years ago,"2023-11-13,00:10:39","Mooie plas, mooi park om met mijn 2 Berners te lopen"
Gaasperplas,Gaasperplas,official,Roel Verwer,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Guillaumine bronne,5 stars,3 years ago,"2023-11-13,00:10:39","Love the nature. Gives a peaceful vibe, during summer you can go picnic there."
Gaasperplas,Gaasperplas,official,Beniamin Baczewski,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Mara Isaacson,4 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Maxwell Spaine,5 stars,3 years ago,"2023-11-13,00:10:39",Lovely walk.
Gaasperplas,Gaasperplas,official,raanan ziser,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Suzanne M,5 stars,3 years ago,"2023-11-13,00:10:39",Heerlijk rondje wandelen rondom de Gaasperplas (5km). Voor de hond zijn er 2 zwemstranden (1 klein en 1 groot) langs de route. Van 15 oktober t/m 15 april mag je overal los ook op de mensen stranden.
Gaasperplas,Gaasperplas,official,Aartie Birdja,4 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Lucia Rossel,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Lukas Fricke,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Vivien Fakhoury,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Lyd B,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Jah Nico Rastafari Dubmus,5 stars,3 years ago,"2023-11-13,00:10:39",Amsterdams meertje
Gaasperplas,Gaasperplas,official,Laith,2 stars,3 years ago,"2023-11-13,00:10:39",Nice
Gaasperplas,Gaasperplas,official,Sven de Wildt,5 stars,3 years ago,"2023-11-13,00:10:39",Mooiste plekje Amsterdam
Gaasperplas,Gaasperplas,official,Mokum Dutchy,5 stars,3 years ago,"2023-11-13,00:10:39",Al meerdere keren deze plas in het rond gevaren op het Supboard.
Gaasperplas,Gaasperplas,official,Nuria Rosa Andreo,5 stars,3 years ago,"2023-11-13,00:10:39",Lugar muy agradable
Gaasperplas,Gaasperplas,official,Joris Does,4 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Miguel Cervera Lino,4 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Claudia Diana Schulz,5 stars,3 years ago,"2023-11-13,00:10:39",Zentrumsnah und doch herrlich ruhig
Gaasperplas,Gaasperplas,official,Irma Devos,5 stars,3 years ago,"2023-11-13,00:10:39",NA
Gaasperplas,Gaasperplas,official,Li Ro,5 stars,3 years ago,"2023-11-13,00:10:39",Einfach toll zum Spazieren gehen. Campingplatz um die Ecke und S Bahn zum Zentrum Amsterdam ganz nah. Top für Seightseeing
Gaasperplas,Gaasperplas,official,Wessel Kooger,3 stars,3 years ago,"2023-11-13,00:10:39",Oke
Gaasperplas,Gaasperplas,official,James McMinn-Loughlin,3 stars,3 years ago,"2023-11-13,00:10:40",Lots of water...brings Ur trunks
Gaasperplas,Gaasperplas,official,Reynold Rudge,4 stars,3 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Petra Audie (tante Mokkel),5 stars,3 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,CEANTY Vincent van der Horst,5 stars,3 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Lucia Van Kallen,5 stars,3 years ago,"2023-11-13,00:10:40","Gaasperplas is een openbare park waar de groten onder de raggea artisten als Morgan Heritage, Alborosie,Tarrus Riley, third world, Etana, Ziggy Marley, kimani Marley en nog vele anderen optreden.
In de zomer maanden is het elk jaar, een verrassing welke artiesten, door de organisatie van reggae lake festival, naar binnen gehaald worden. Klantvriendelijk. Gedeeltelijk rolstoelvriendelijk met begeleiding. Het is zeer druk.  Lange wachtrijen voor kaarten, gaat toch vlot, openbare toiletten aanwezig. Honden aan de lijn. Bussen 41, 44, eind halte metro 53. gaasperplas. Van uit Station Duivendrecht overstappen op de metro 54 richtig CS en overstappen aan de van der Made weg op de metro 53, richting gaasperplas eindhalte voor dit grote reggae festival twee dagen lang.👍💯☮"
Gaasperplas,Gaasperplas,official,Gerd De Smyter,5 stars,3 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Eric Kensdell,5 stars,3 years ago,"2023-11-13,00:10:40",Place to be. Relaxe omgeving
Gaasperplas,Gaasperplas,official,Stef Cortie,4 stars,3 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,goodbobovibes,5 stars,3 years ago,"2023-11-13,00:10:40",Nickel
Gaasperplas,Gaasperplas,official,Andreas Kämmer,5 stars,4 years ago,"2023-11-13,00:10:40",Tolle Campingplatz und günstig.
Gaasperplas,Gaasperplas,official,Daniel Kutschera,5 stars,4 years ago,"2023-11-13,00:10:40","Perfekter Ort zum abhängen, nicht weit weg von Amsterdam. Wer mal aus der Stadt raus will ist hier genau richtig"
Gaasperplas,Gaasperplas,official,Jos van Beers,4 stars,4 years ago,"2023-11-13,00:10:40",Leuk duikstek heel afwisselend bodem
Gaasperplas,Gaasperplas,official,S Nahr,5 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Amita Lakhotia,5 stars,4 years ago,"2023-11-13,00:10:40",Beautiful area with a lake in centre.. peaceful n relaxing place
Gaasperplas,Gaasperplas,official,Janish W,4 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Roger Johansson,4 stars,4 years ago,"2023-11-13,00:10:40",Mycket bra camping för besök av Amsterdam. Nära till Metro.
Gaasperplas,Gaasperplas,official,anthony long,5 stars,4 years ago,"2023-11-13,00:10:40","Geweldige lokatie
Ben er geweest op het Reggae lake festival 24 /25 Aug 2019
Super locatie met goede OV verbinding
Parkeer gelegenheid in de buurt
Goede overnachtings gelegenheden in en rond om het park
Camping Gaasper par
Tulpin
En hotel gaasperplas campina-hotel

In een woord geweldig"
Gaasperplas,Gaasperplas,official,AMIR Around the Netherlands,2 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,michel langeveld,4 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,floris van dulmen,5 stars,4 years ago,"2023-11-13,00:10:40",Zwemmen
Gaasperplas,Gaasperplas,official,Leonel Cardoso,5 stars,4 years ago,"2023-11-13,00:10:40","Tasty, beautiful, and for free! XD"
Gaasperplas,Gaasperplas,official,Gaye Ah,4 stars,4 years ago,"2023-11-13,00:10:40",Très beau lieux calme
Gaasperplas,Gaasperplas,official,Kees Rijken,5 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Selda Baysan,5 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Michael Coyle,5 stars,4 years ago,"2023-11-13,00:10:40",Wonderful camping area not too far from the centre.
Gaasperplas,Gaasperplas,official,Mark Van de Velde,4 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,Michiel Houdijk,5 stars,4 years ago,"2023-11-13,00:10:40",NA
Gaasperplas,Gaasperplas,official,frans bastiaens,5 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Helga Kommers,5 stars,4 years ago,"2023-11-13,00:10:41","Lekker wandelen,"
Gaasperplas,Gaasperplas,official,Birgit W (BitKloepplerin),5 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Samuel Lewis,4 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Claudia Rolando,4 stars,4 years ago,"2023-11-13,00:10:41",Nice park
Gaasperplas,Gaasperplas,official,Benjamin Italiaander,5 stars,4 years ago,"2023-11-13,00:10:41",Heel erg fijne plek
Gaasperplas,Gaasperplas,official,Fouad Sabag,5 stars,4 years ago,"2023-11-13,00:10:41",A great place to spend a picnic with family and friends
Gaasperplas,Gaasperplas,official,KAMAR AYASO,3 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Ebony Erica,4 stars,4 years ago,"2023-11-13,00:10:41","Very nice and big park, for fun and relaxing."
Gaasperplas,Gaasperplas,official,Jeremy B,4 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Pablo Ruim,5 stars,4 years ago,"2023-11-13,00:10:41","Pueblo o barrio muy tranquilo de Ámsterdam, llega el metro allí así que está bastante bien por si viajas a Ámsterdam y quieres más tranquilidad"
Gaasperplas,Gaasperplas,official,Saar Shnaider,5 stars,4 years ago,"2023-11-13,00:10:41",Great place to walk your dog!
Gaasperplas,Gaasperplas,official,Mr Varus,4 stars,4 years ago,"2023-11-13,00:10:41","A beautiful lake and surrounding woodland.But their are eastern Europeans living in those woods.And when they are drunk mostly in the evening,you should not go anywhere near that place.They are very aggressive."
Gaasperplas,Gaasperplas,official,Gijsbert,5 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Linda Vlaanderen,4 stars,4 years ago,"2023-11-13,00:10:41",Heerlijk wandelgebied met de honden
Gaasperplas,Gaasperplas,official,Guido Schabehorn,5 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,r p (xari),4 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Adresso Herman,3 stars,4 years ago,"2023-11-13,00:10:41",A very beautiful park around a recreational lake in Amsterdam's South East area.
Gaasperplas,Gaasperplas,official,Charo Hana,5 stars,4 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Jorge Luis,3 stars,5 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,ASID and family (ASID),3 stars,5 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Patrick Smit,5 stars,5 years ago,"2023-11-13,00:10:41",Mooi stukje natuur in een drukke stad. Plek ook van Reggae Lake Festival!
Gaasperplas,Gaasperplas,official,Bob Rodenburg,3 stars,5 years ago,"2023-11-13,00:10:41",Niet erg groot maar leuk opgezet
Gaasperplas,Gaasperplas,official,Sujay Kumar,5 stars,5 years ago,"2023-11-13,00:10:41",Perplas
Gaasperplas,Gaasperplas,official,Tijmen van der Poel,5 stars,5 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Stephanie Beyer,4 stars,5 years ago,"2023-11-13,00:10:41",Gute Parkmöglichkeit
Gaasperplas,Gaasperplas,official,Floor S,4 stars,5 years ago,"2023-11-13,00:10:41",NA
Gaasperplas,Gaasperplas,official,Luca H,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Mike Wido,4 stars,5 years ago,"2023-11-13,00:10:42",Perfekt um dort zu wohnen und in die Stadt zu fahren
Gaasperplas,Gaasperplas,official,Maikel van Leeuwen,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Rob Van Den Hoven,5 stars,5 years ago,"2023-11-13,00:10:42",Hier kun je nog genieten van een stukje natuur en rust t.o. in de drukke stad.
Gaasperplas,Gaasperplas,official,Pavlos Diam,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Marijn Scheers,4 stars,5 years ago,"2023-11-13,00:10:42",Nice picnick place.
Gaasperplas,Gaasperplas,official,Baris Meurer,5 stars,5 years ago,"2023-11-13,00:10:42",Nice.
Gaasperplas,Gaasperplas,official,Cora Faber,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,H.H. Elenbaas,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,D de Bruin,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Diego,4 stars,5 years ago,"2023-11-13,00:10:42",Hele mooie plek om tot rust te komen of te barbecuen! Rustige plek zonder toeristen.
Gaasperplas,Gaasperplas,official,Remmelt Boermeester,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Sunny Kalyar,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Erika Pluhár,5 stars,5 years ago,"2023-11-13,00:10:42",Beautiful natural...... i love it
Gaasperplas,Gaasperplas,official,Jahla,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Tomáš Bánovský,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,A Bakr,3 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Vijay Kumar,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Mo Mo,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Cédric MEYER,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Joop Pol,4 stars,5 years ago,"2023-11-13,00:10:42",Mooi recreatie gebied
Gaasperplas,Gaasperplas,official,Luigi Mara,5 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Ferenc Torma,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Vasia Damilakou,4 stars,5 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Nance Moi,5 stars,6 years ago,"2023-11-13,00:10:42",Rustig mooie plaats om te wandelen en relaxen
Gaasperplas,Gaasperplas,official,Sébastien De Wolf,4 stars,6 years ago,"2023-11-13,00:10:42",NA
Gaasperplas,Gaasperplas,official,Monic,4 stars,6 years ago,"2023-11-13,00:10:42",Lekker op het hondenstrand geweest. De honden hebben lekker gespeeld en gezwommen.
Gaasperplas,Gaasperplas,official,Jakob Dietz,5 stars,6 years ago,"2023-11-13,00:10:43",NA
Gaasperplas,Gaasperplas,official,André Schlegel,5 stars,6 years ago,"2023-11-13,00:10:43","Naherholung am Rande von Amsterdam, Metro fährt direkt in die Amsterdamer City"
Gaasperplas,Gaasperplas,official,Kai Tomasberg,5 stars,7 years ago,"2023-11-13,00:10:43","Gaasperplas is a blue-green bubble of tranquillity with water as the central element. During the walk, the city feels far away but it isn't. Narrow white paths attract you with quiet corners and wooden benches. Beautiful nature to admire."
Gaasperplas strand,Gaasperplas,official,Aart Donker,4 stars,a month ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,Ahmad Baniyassien,3 stars,4 months ago,"2023-11-13,00:11:07","Positive points:
Gaasperplas is  accessible by metro and public transport.
Nice place for families and for children from different age groups.

None positive points:
Water quality wasn’t that good during the last visit."
Gaasperplas strand,Gaasperplas,official,Judith Hoefnagel,5 stars,4 months ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,K P,5 stars,5 months ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,Antoon van Olderen,5 stars,5 months ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,Prashant Choudhari,5 stars,a year ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,Menno L,4 stars,a year ago,"2023-11-13,00:11:07",Leuk en vaak druk strandje om aan te liggen. Voornamelijk leuk met kinderen. Jammer dat er geen echte horeca aanwezig is. Helaas geen verlichting op de aanwezige wc’s in de avonduren. Een simpel solar lampje zou dit al oplossen.
Gaasperplas strand,Gaasperplas,official,Rein Molenmaker,5 stars,a year ago,"2023-11-13,00:11:07",Geweldig  mooi voor kinderen
Gaasperplas strand,Gaasperplas,official,Oliver Speder,5 stars,a year ago,"2023-11-13,00:11:07",Nett und kostenlos
Gaasperplas strand,Gaasperplas,official,Louise Santos,5 stars,a year ago,"2023-11-13,00:11:07",NA
Gaasperplas strand,Gaasperplas,official,Rein Molenmaker,5 stars,a year ago,"2023-11-13,00:11:07",Heel mooi ook voor volwassenen.
